,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,label1,combination,total,label1x,label2x,label3x,label4x,label5x,label6x,label7x,label8x,label9x,label10x,label11x,label12x,total_per,bestlabelx1,bestlabelx2,bestlabelx3,bestlabel1,bestlabel2,bestlabel3,melhores
299,299,299,1430,1430,,1449,65-69,Ontario,Female,French,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.9333333333333332,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.9333333333333332-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label1x,,,0,0,0,1.0
300,300,300,1431,1431,,1450,55-59,Quebec,Female,French,English,Elementary School Graduation Cert,Full-Time,Professionals,,,,0.8,0.8888888888888888,1,0.29411764705882354,0.2352941176470588,0.4,0.0,0.4444444444444444,0,1.0,,0.8-0.8888888888888888-1-0.29411764705882354-0.2352941176470588-0.4-0.0-0.4444444444444444-0-1.0,34,0.0,0.0,0.058823529411764705,0.0,0.029411764705882353,0.08823529411764706,0.0,0.17647058823529413,0.6470588235294118,0.0,0.0,0.0,0.0028333333333333335,label9x,label8x,label6x,8,7,5,0.911764705882353
301,301,301,1435,1435,,1454,25-29,Ontario,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Professionals,,,,0.4,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.4444444444444444,0,1.0,,0.4-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.4444444444444444-0-1.0,14,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0011666666666666668,label8x,label1x,,7,0,0,0.8571428571428571
302,302,302,1437,1437,,1456,40-44,Alberta,Male,French,English,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,,,,0.6,0.0,0,0.29411764705882354,0.2352941176470588,0.4,0.0,0.0,0,1.0,,0.6-0.0-0-0.29411764705882354-0.2352941176470588-0.4-0.0-0.0-0-1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label3x,,,2,0,0,1.0
304,304,304,1440,1440,,1459,70+,Quebec,Female,English,French,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,,,,1.0,0.8888888888888888,1,0.2352941176470588,0.29411764705882354,0.0,0.0,0.1111111111111111,0,1.0,,1.0-0.8888888888888888-1-0.2352941176470588-0.29411764705882354-0.0-0.0-0.1111111111111111-0-1.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,label6x,,,5,0,0,1.0
305,305,305,1442,1442,,1461,40-44,Ontario,Female,English,English,Bachelors Degrees,Full-Time,Professionals,,,,0.6,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.4444444444444444,0,1.0,,0.6-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.4444444444444444-0-1.0,5,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004166666666666667,label2x,label1x,,1,0,0,0.8
306,306,306,1447,1447,,1466,60-64,Ontario,Female,English,French,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.8666666666666667,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.5,0.0,0.8888888888888888,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.5-0.0-0.8888888888888888-0-1.0,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.00025,label7x,label1x,,6,0,0,1.0
307,307,307,1452,1452,,1471,30-34,Quebec,Female,French,French,Bachelors Degrees,Not Employed,Other,,,,0.4666666666666667,0.8888888888888888,1,0.29411764705882354,0.29411764705882354,0.0,0.5,0.1111111111111111,0,1.0,,0.4666666666666667-0.8888888888888888-1-0.29411764705882354-0.29411764705882354-0.0-0.5-0.1111111111111111-0-1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0004166666666666667,label10x,,,9,0,0,1.0
308,308,308,1455,1455,,1474,70+,Alberta,Female,English,English,High School Graduation Certificate,Full-Time,Other Managers,,,,1.0,0.0,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.2222222222222222,0,1.0,,1.0-0.0-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.2222222222222222-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label2x,,,1,0,0,1.0
310,310,310,1459,1459,,1478,20-21,Ontario,Female,English,French,Other Certificate/Diploma Not Univ,Full-Time,Other,,,,0.26666666666666666,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.0,0.1111111111111111,0,1.0,,0.26666666666666666-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.0-0.1111111111111111-0-1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label1x,,,0,0,0,1.0
311,311,311,1461,1461,,1480,25-29,Manitoba,Male,English,English,High School Graduation Certificate,Part-Time,Other,,,,0.4,0.2222222222222222,0,0.2352941176470588,0.2352941176470588,0.5,1.0,0.1111111111111111,0,1.0,,0.4-0.2222222222222222-0-0.2352941176470588-0.2352941176470588-0.5-1.0-0.1111111111111111-0-1.0,12,0.08333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.001,label2x,label7x,label1x,1,6,0,0.5833333333333334
312,312,312,1463,1463,,1482,40-44,Alberta,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.6,0.0,0,0.2352941176470588,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.6-0.0-0-0.2352941176470588-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,2,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label2x,,,1,0,0,0.5
313,313,313,1470,1470,,1489,70+,British Columbia,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,1.0,0.1111111111111111,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,1.0-0.1111111111111111-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label6x,,,5,0,0,1.0
314,314,314,1473,1473,,1492,30-34,Alberta,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.4666666666666667,0.0,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4666666666666667-0.0-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,6,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0005,label7x,label4x,,6,3,0,1.0
315,315,315,1475,1475,,1495,30-34,Ontario,Male,Other,English,Bachelors Degrees,Full-Time,Unskilled,,,,0.4666666666666667,0.6666666666666666,0,0.7058823529411765,0.2352941176470588,0.0,0.0,1.0,0,1.0,,0.4666666666666667-0.6666666666666666-0-0.7058823529411765-0.2352941176470588-0.0-0.0-1.0-0-1.0,8,0.0,0.125,0.25,0.125,0.0,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0006666666666666666,label7x,label3x,label2x,6,2,1,0.75
316,316,316,1478,1478,,1498,60-64,Alberta,Male,English,English,Elementary School Graduation Cert,Not Employed,Clerical/Secretarial,,,,0.8666666666666667,0.0,0,0.2352941176470588,0.2352941176470588,0.4,0.5,0.0,0,1.0,,0.8666666666666667-0.0-0-0.2352941176470588-0.2352941176470588-0.4-0.5-0.0-0-1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label5x,,,4,0,0,1.0
318,318,318,1488,1488,,1508,45-49,Quebec,Male,French,English,Elementary School Graduation Cert,Part-Time,Other,,,,0.6666666666666666,0.8888888888888888,0,0.29411764705882354,0.2352941176470588,0.4,1.0,0.1111111111111111,0,1.0,,0.6666666666666666-0.8888888888888888-0-0.29411764705882354-0.2352941176470588-0.4-1.0-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label6x,,,5,0,0,1.0
321,321,321,1516,1516,,1536,55-59,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,0.8,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.0,0.2222222222222222,0,1.0,,0.8-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.0-0.2222222222222222-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label1x,,,0,0,0,1.0
322,322,322,1518,1518,,1538,50-54,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.7333333333333333,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.7333333333333333-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0003333333333333333,label8x,,,7,0,0,1.0
324,324,324,1530,1530,,1550,22-24,Quebec,Male,French,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.3333333333333333,0.8888888888888888,0,0.29411764705882354,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.3333333333333333-0.8888888888888888-0-0.29411764705882354-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label5x,,,4,0,0,1.0
325,325,325,1531,1531,,1551,65-69,Alberta,Male,English,English,Trade Certificate/Diploma,Full-Time,Other,,,,0.9333333333333332,0.0,0,0.2352941176470588,0.2352941176470588,0.8,0.0,0.1111111111111111,0,1.0,,0.9333333333333332-0.0-0-0.2352941176470588-0.2352941176470588-0.8-0.0-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label5x,,,4,0,0,1.0
326,326,326,1536,1536,,1556,50-54,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Other Managers,,,,0.7333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.2222222222222222,0,1.0,,0.7333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.2222222222222222-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label1x,,,0,0,0,1.0
327,327,327,1537,1537,,1557,30-34,Quebec,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Not Employed,Other Managers,,,,0.4666666666666667,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.2222222222222222,0,1.0,,0.4666666666666667-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.2222222222222222-0-1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label1x,,,0,0,0,1.0
328,328,328,1542,1542,,1563,40-44,Ontario,Male,French,English,Other Certificate/Diploma Not Univ,Full-Time,Other Managers,,,,0.6,0.6666666666666666,0,0.29411764705882354,0.2352941176470588,0.0,0.0,0.2222222222222222,0,1.0,,0.6-0.6666666666666666-0-0.29411764705882354-0.2352941176470588-0.0-0.0-0.2222222222222222-0-1.0,7,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0005833333333333334,label8x,label4x,,7,3,0,1.0
329,329,329,1550,1550,,1573,25-29,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Unskilled,,,,0.4,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.0,1.0,0,1.0,,0.4-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.0-1.0-0-1.0,5,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0004166666666666667,label3x,label5x,,2,4,0,0.6000000000000001
330,330,330,1551,1551,,1574,60-64,Ontario,Female,English,French,Elementary School Graduation Cert,Full-Time,Professionals,,,,0.8666666666666667,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.4,0.0,0.4444444444444444,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.4-0.0-0.4444444444444444-0-1.0,2,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label4x,,,3,0,0,0.5
332,332,332,1555,1555,,1578,50-54,Ontario,Male,English,French,Elementary School Graduation Cert,Full-Time,Other,,,,0.7333333333333333,0.6666666666666666,0,0.2352941176470588,0.29411764705882354,0.4,0.0,0.1111111111111111,0,1.0,,0.7333333333333333-0.6666666666666666-0-0.2352941176470588-0.29411764705882354-0.4-0.0-0.1111111111111111-0-1.0,8,0.125,0.375,0.0,0.0,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666666666,label2x,label1x,,1,0,0,0.5
333,333,333,1558,1558,,1581,65-69,Alberta,Male,English,English,High School Graduation Certificate,Not Employed,Other,,,,0.9333333333333332,0.0,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.9333333333333332-0.0-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,6,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,label6x,label4x,,5,3,0,1.0
334,334,334,1565,1565,,1588,45-49,Alberta,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Not Employed,Other,,,,0.6666666666666666,0.0,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.6666666666666666-0.0-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,10,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0008333333333333334,label8x,label6x,label4x,7,5,3,0.9999999999999999
335,335,335,1570,1570,,1593,50-54,Ontario,Male,French,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,,,,0.7333333333333333,0.6666666666666666,0,0.29411764705882354,0.2352941176470588,0.5,0.5,0.0,0,1.0,,0.7333333333333333-0.6666666666666666-0-0.29411764705882354-0.2352941176470588-0.5-0.5-0.0-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label1x,,,0,0,0,1.0
336,336,336,1581,1581,,1605,30-34,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Unskilled,,,,0.4666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,1.0,0,1.0,,0.4666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-1.0-0-1.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label6x,,,5,0,0,1.0
337,337,337,1586,1586,,1610,18 Years,British Columbia,Female,English,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.13333333333333333,0.1111111111111111,1,0.2352941176470588,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.13333333333333333-0.1111111111111111-1-0.2352941176470588-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,5,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004166666666666667,label1x,label2x,,0,1,0,0.8
338,338,338,1587,1587,,1611,15-17,British Columbia,Male,French,Other,High School Graduation Certificate,Full-Time,Other,,,,0.06666666666666668,0.1111111111111111,0,0.29411764705882354,0.7058823529411765,0.5,0.0,0.1111111111111111,0,1.0,,0.06666666666666668-0.1111111111111111-0-0.29411764705882354-0.7058823529411765-0.5-0.0-0.1111111111111111-0-1.0,2,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label1x,,,0,0,0,0.5
339,339,339,1603,1603,,1627,30-34,Ontario,Female,English,Other,Other Certificate/Diploma Not Univ,Full-Time,Other,,,,0.4666666666666667,0.6666666666666666,1,0.2352941176470588,0.7058823529411765,0.0,0.0,0.1111111111111111,0,1.0,,0.4666666666666667-0.6666666666666666-1-0.2352941176470588-0.7058823529411765-0.0-0.0-0.1111111111111111-0-1.0,16,0.1875,0.0625,0.1875,0.0,0.0625,0.125,0.0,0.375,0.0,0.0,0.0,0.0,0.0013333333333333333,label8x,label1x,label6x,7,0,5,0.6875
340,340,340,1617,1617,,1641,15-17,British Columbia,Male,English,English,Bachelors Degrees,Full-Time,Other,,,,0.06666666666666668,0.1111111111111111,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.06666666666666668-0.1111111111111111-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,5,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0004166666666666667,label7x,label2x,,6,1,0,1.0
341,341,341,1632,1632,,1656,40-44,Ontario,Female,English,French,Other Certificate/Diploma Not Univ,Not Employed,Unskilled,,,,0.6,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.5,1.0,0,1.0,,0.6-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.5-1.0-0-1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label3x,,,2,0,0,1.0
343,343,343,1647,1647,,1671,15-17,Ontario,Female,English,English,Bachelors Degrees,Full-Time,Other,,,,0.06666666666666668,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.06666666666666668-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,5,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0004166666666666667,label6x,label1x,,5,0,0,1.0
345,345,345,1650,1650,,1674,40-44,Quebec,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.6,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.8888888888888888,0,1.0,,0.6-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.8888888888888888-0-1.0,9,0.0,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.00075,label7x,label5x,label2x,6,4,1,0.9999999999999999
346,346,346,1659,1659,,1684,35-39,Ontario,Male,English,English,Elementary School Graduation Cert,Part-Time,Unskilled,,,,0.5333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,1.0,1.0,0,1.0,,0.5333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-1.0-1.0-0-1.0,19,0.05263157894736842,0.05263157894736842,0.3684210526315789,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.3157894736842105,0.0,0.0,0.0015833333333333333,label3x,label10x,label6x,2,9,5,0.7894736842105262
348,348,348,1677,1677,,1703,25-29,Ontario,Male,English,English,Bachelors Degrees,Not Employed,Other,,,,0.4,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label1x,,,0,0,0,1.0
349,349,349,1686,1686,,1712,50-54,Quebec,Female,French,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,0.7333333333333333,0.8888888888888888,1,0.29411764705882354,0.2352941176470588,0.4,0.0,0.2222222222222222,0,1.0,,0.7333333333333333-0.8888888888888888-1-0.29411764705882354-0.2352941176470588-0.4-0.0-0.2222222222222222-0-1.0,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label1x,,,0,0,0,0.5
350,350,350,1687,1687,,1713,60-64,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other,,,,0.8666666666666667,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.5,0.1111111111111111,0,0.6923076923076923,,0.8666666666666667-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.5-0.1111111111111111-0-0.6923076923076923,22,0.0,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.0,0.2727272727272727,0.045454545454545456,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0018333333333333333,label6x,label3x,label8x,5,2,7,0.6818181818181819
352,352,352,1694,1694,,1720,70+,Ontario,Male,French,English,Bachelors Degrees,Part-Time,Other,,,,1.0,0.6666666666666666,0,0.29411764705882354,0.2352941176470588,0.0,1.0,0.1111111111111111,0,1.0,,1.0-0.6666666666666666-0-0.29411764705882354-0.2352941176470588-0.0-1.0-0.1111111111111111-0-1.0,2,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label1x,,,0,0,0,0.5
353,353,353,1697,1697,,1723,55-59,Alberta,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Clerical/Secretarial,,,,0.8,0.0,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.0,0,1.0,,0.8-0.0-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.0-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label4x,,,3,0,0,1.0
355,355,355,1701,1701,,1727,40-44,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other Managers,,,,0.6,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.5,0.2222222222222222,0,1.0,,0.6-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.5-0.2222222222222222-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label2x,,,1,0,0,1.0
356,356,356,1702,1702,,1728,50-54,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Skilled,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.0,0.7777777777777778,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.0-0.7777777777777778-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label1x,,,0,0,0,1.0
358,358,358,1719,1719,,1745,30-34,Quebec,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,,,,0.4666666666666667,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.4666666666666667-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,label1x,,,0,0,0,1.0
359,359,359,1723,1723,,1749,30-34,Quebec,Male,English,English,High School Graduation Certificate,Not Employed,Skilled,,,,0.4666666666666667,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.7777777777777778,0,1.0,,0.4666666666666667-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.7777777777777778-0-1.0,36,0.0,0.08333333333333333,0.0,0.027777777777777776,0.05555555555555555,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.003,label12x,label8x,label2x,11,7,1,0.9166666666666666
360,360,360,1724,1724,,1751,55-59,Ontario,Male,English,French,Bachelors Degrees,Not Employed,Other,,,,0.8,0.6666666666666666,0,0.2352941176470588,0.29411764705882354,0.0,0.5,0.1111111111111111,0,1.0,,0.8-0.6666666666666666-0-0.2352941176470588-0.29411764705882354-0.0-0.5-0.1111111111111111-0-1.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5641025641025641,0.0,0.0,0.4358974358974359,0.00325,label9x,label12x,,8,11,0,1.0
361,361,361,1727,1727,,1754,30-34,Ontario,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Unskilled,,,,0.4666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.5,1.0,0,1.0,,0.4666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.5-1.0-0-1.0,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label3x,,,2,0,0,0.5
362,362,362,1729,1729,,1756,30-34,Ontario,Male,French,English,High School Graduation Certificate,Not Employed,Other,,,,0.4666666666666667,0.6666666666666666,0,0.29411764705882354,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.4666666666666667-0.6666666666666666-0-0.29411764705882354-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label1x,,,0,0,0,1.0
363,363,363,1731,1731,,1758,70+,Alberta,Female,English,English,Elementary School Graduation Cert,Full-Time,Unskilled,,,,1.0,0.0,1,0.2352941176470588,0.2352941176470588,0.4,0.0,1.0,0,1.0,,1.0-0.0-1-0.2352941176470588-0.2352941176470588-0.4-0.0-1.0-0-1.0,17,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0014166666666666668,label12x,label6x,,11,5,0,1.0
364,364,364,1732,1732,,1759,60-64,Quebec,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,,,,0.8666666666666667,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.8666666666666667-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label5x,,,4,0,0,1.0
