Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels
1001,65-69,Quebec,Female,Ukrainian,English,Bachelors Degrees,Not Employed,Unskilled,$50000-$59999,White,Burgers_Burger Past 30 1-2
1002,25-29,Ontario,Female,French,English,Degree In Medicine/Dentistry/ Veterinary Medic,Full-Time,Other,$35000-$39999,Arab,Popeye (Less) 1-2
1003,30-34,Alberta,Male,French,English,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Burgers_Burger Past 30 5+
1004,55-59,Manitoba,Male,French,English,Trade Certificate/Diploma,Part-Time,Unskilled,$60000-$74999,White,Burgers_Burger past 30 3-4
1005,45-49,Ontario,Female,English,English,High School Graduation Certificate,Part-Time,Other,$125000-$149999,White,Popeyes 1-2
1006,65-69,Ontario,Male,Italian,English,Elementary School Graduation Cert,Not Employed,Clerical/Secretarial,$25000-$34999,Aboriginal,Chicken_Chicken past 30 3-4
1007,65-69,Ontario,Female,Indian-Hindi,English,Elementary School Graduation Cert,Not Employed,Unskilled,$100000-$124999,White,Burgers_Burger past 30 3-4
1008,35-39,Alberta,Female,English,English,Elementary School Graduation Cert,Part-Time,Other,$200000 Or Over,White,Chicken_Chicken past 30 3-4
1009,25-29,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$150000-$199999,Chinese,Burgers_Burger Past 30 1-2
1010,65-69,Ontario,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Not Employed,Other,Under $25000,White,Popeyes 1-2
1011,35-39,Ontario,Male,French,English,Other Certificate/Diploma Not Univ,Full-Time,Unskilled,$25000-$34999,White,Popeye (Less) 5+
1012,60-64,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Chicken_Chicken Past 30 1-2
1013,70+,British Columbia,Female,English,English,Trade Certificate/Diploma,Full-Time,Clerical/Secretarial,$60000-$74999,White,Burgers_Burger Past 30 1-2
1014,65-69,Saskatchewan,Female,English,English,Other Certificate/Diploma Not Univ,Part-Time,Technical/Sales/Teaching/Other White Collar,$75000-$99999,White,Burgers_Burger Past 30 1-2
1015,45-49,Quebec,Male,English,French,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,$40000-$49999,Latin/Central and South American,Burgers_Burger Past 30 1-2
1016,40-44,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Professionals,$100000-$124999,White,Chicken_Chicken Past 30 1-2
1017,35-39,Ontario,Female,French,English,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,$40000-$49999,White,Burgers_Burger Past 30 1-2
1018,25-29,British Columbia,Female,French,English,Bachelors Degrees,Full-Time,Other,$100000-$124999,Not Stated,Burgers_Burger Past 30 1-2
1019,55-59,Quebec,Female,Other,English,High School Graduation Certificate,Full-Time,Other,$35000-$39999,Chinese,Chicken_Chicken Past 30 1-2
1020,18 Years,Manitoba,Female,English,French,Masters Degrees,Part-Time,Other,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
1021,25-29,Saskatchewan,Male,English,English,Elementary School Graduation Cert,Not Employed,Clerical/Secretarial,$75000-$99999,Filipino,Burgers_Burger past 30 3-4
1022,40-44,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other,$125000-$149999,White,Burgers_Burger Past 30 1-2
1023,35-39,Alberta,Male,English,English,High School Graduation Certificate,Not Employed,Other,$25000-$34999,White,Burgers_Burger past 30 3-4
1024,45-49,British Columbia,Female,French,English,Univ Cert/Dipl Above Bachelor Level,Not Employed,Professionals,$75000-$99999,Aboriginal,Chicken_Chicken Past 30 1-2
1025,45-49,British Columbia,Female,Greek,English,Bachelors Degrees,Not Employed,Skilled,$100000-$124999,East/South Asian (Cambodian Indonesian),Burgers_Burger Past 30 1-2
1026,15-17,Manitoba,Female,Other,French,Bachelors Degrees,Full-Time,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
1027,65-69,Ontario,Male,English,French,Elementary School Graduation Cert,Not Employed,Other,Under $25000,White,Burgers_Burger Past 30 5+
1028,25-29,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,$35000-$39999,White,Popeye (Less) 1-2
1029,65-69,British Columbia,Female,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,$60000-$74999,Black,Chicken_Chicken Past 30 1-2
1030,20-21,Ontario,Male,English,English,Bachelors Degrees,Not Employed,Clerical/Secretarial,$50000-$59999,White,Chicken_Chicken Past 30 1-2
1031,50-54,Prince Edward Island,Female,Other,French,High School Graduation Certificate,Not Employed,Other,Under $25000,White,Burgers_Burger Past 30 1-2
1032,40-44,British Columbia,Male,French,English,Other Certificate/Diploma Not Univ,Not Employed,Unskilled,$40000-$49999,White,Chicken_Chicken Past 30 1-2
1033,25-29,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Senior Managers/Owners,$25000-$34999,White,Chicken_Chicken Past 30 1-2
1034,30-34,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Other,$75000-$99999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
1035,30-34,Ontario,Male,English,French,Bachelors Degrees,Not Employed,Other,Under $25000,Arab,Chicken_Chicken Past 30 1-2
1036,40-44,Nova Scotia,Female,French,French,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,$200000 Or Over,White,Burgers_Burger past 30 3-4
1037,18 Years,Quebec,Female,English,English,Elementary School Graduation Cert,Full-Time,Professionals,$75000-$99999,White,Burgers_Burger Past 30 1-2
1038,55-59,Ontario,Male,English,English,High School Graduation Certificate,Part-Time,Technical/Sales/Teaching/Other White Collar,$200000 Or Over,Black,Chicken_Chicken Past 30 1-2
1039,40-44,Ontario,Female,English,French,High School Graduation Certificate,Not Employed,Other,$125000-$149999,White,Chicken_Chicken Past 30 1-2
1040,60-64,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 5+
1041,50-54,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Professionals,$100000-$124999,Black,Burgers_Burger past 30 3-4
1042,45-49,Ontario,Female,French,English,Bachelors Degrees,Not Employed,Unskilled,$50000-$59999,White,Chicken_Chicken Past 30 1-2
1043,70+,Ontario,Male,French,English,Trade Certificate/Diploma,Part-Time,Other Managers,$50000-$59999,White,Burgers_Burger Past 30 5+
1044,60-64,Alberta,Female,Other,English,High School Graduation Certificate,Full-Time,Professionals,$50000-$59999,White,Chicken_Chicken Past 30 1-2
1045,18 Years,British Columbia,Female,English,French,Elementary School Graduation Cert,Part-Time,Other,$75000-$99999,Chinese,Burgers_Burger Past 30 1-2
1046,30-34,Ontario,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Technical/Sales/Teaching/Other White Collar,$60000-$74999,Other,Chicken_Chicken Past 30 1-2
1047,30-34,Quebec,Female,French,French,Univ Cert/Dipl Below Bachelor Level,Part-Time,Other Managers,$150000-$199999,White,Burgers_Burger Past 30 1-2
1048,14 Years,Quebec,Male,English,English,High School Graduation Certificate,Full-Time,Other Managers,Under $25000,White,Chicken_Chicken Past 30 1-2
1049,60-64,Newfoundland and Labrador,Male,French,English,High School Graduation Certificate,Part-Time,Other Managers,Under $25000,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
1050,60-64,Quebec,Male,Indian-Hindi,English,High School Graduation Certificate,Full-Time,Other,Under $25000,White,Chicken_Chicken Past 30 1-2
1051,45-49,British Columbia,Male,English,Arabic,Trade Certificate/Diploma,Part-Time,Clerical/Secretarial,$40000-$49999,White,Chicken_Chicken past 30 3-4
1052,60-64,British Columbia,Female,English,Arabic,High School Graduation Certificate,Not Employed,Other,Under $25000,White,Burgers_Burger Past 30 1-2
1053,45-49,Quebec,Male,English,English,High School Graduation Certificate,Full-Time,Professionals,$50000-$59999,White,Chicken_Chicken Past 30 1-2
1054,18 Years,Quebec,Male,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,$75000-$99999,White,Burgers_Burger Past 30 1-2
1055,65-69,Ontario,Female,French,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,$25000-$34999,White,Burgers_Burger Past 30 5+
1056,40-44,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Other,$100000-$124999,Other,Chicken_Chicken Past 30 1-2
1057,22-24,Manitoba,Female,French,English,Trade Certificate/Diploma,Full-Time,Other,$125000-$149999,Other,Chicken_Chicken Past 30 1-2
1058,20-21,Quebec,Female,French,English,Trade Certificate/Diploma,Full-Time,Technical/Sales/Teaching/Other White Collar,$60000-$74999,White,Chicken_Chicken Past 30 5+
1059,40-44,Alberta,Female,English,English,Elementary School Graduation Cert,Part-Time,Other Managers,Under $25000,Other,Chicken_Chicken Past 30 1-2
1060,65-69,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Other,$100000-$124999,White,Chicken_Chicken Past 30 1-2
1061,35-39,New Brunswick,Male,German,French,High School Graduation Certificate,Not Employed,Senior Managers/Owners,$125000-$149999,White,Chicken_Chicken past 30 3-4
1062,22-24,British Columbia,Male,French,English,High School Graduation Certificate,Not Employed,Other Managers,$100000-$124999,White,Chicken_Chicken Past 30 1-2
1063,25-29,Alberta,Male,English,English,None,Part-Time,Other,$60000-$74999,White,Popeye (Less) 1-2
1064,70+,Nova Scotia,Male,English,English,Trade Certificate/Diploma,Full-Time,Other,$125000-$149999,White,Burgers_Burger Past 30 1-2
1065,19 Years,Ontario,Female,French,French,Elementary School Graduation Cert,Not Employed,Other,$75000-$99999,White,Burgers_Burger past 30 3-4
1066,55-59,Quebec,Female,English,English,Elementary School Graduation Cert,Full-Time,Other,$125000-$149999,White,Burgers_Burger past 30 3-4
1067,70+,British Columbia,Male,English,English,Earned Doctorate,Full-Time,Other,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
1068,45-49,Ontario,Female,English,English,Bachelors Degrees,Full-Time,Other,$60000-$74999,White,Chicken_Chicken Past 30 1-2
1069,40-44,British Columbia,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$100000-$124999,White,Burgers_Burger past 30 3-4
1070,50-54,Quebec,Female,English,Italian,Trade Certificate/Diploma,Not Employed,Other,$25000-$34999,White,Burgers_Burger Past 30 1-2
1071,70+,Quebec,Male,English,English,High School Graduation Certificate,Full-Time,Other,$100000-$124999,White,Burgers_Burger Past 30 5+
1072,65-69,Ontario,Female,English,English,Bachelors Degrees,Not Employed,Technical/Sales/Teaching/Other White Collar,$150000-$199999,Other,Burgers_Burger Past 30 1-2
1073,60-64,Ontario,Female,Other,English,Elementary School Graduation Cert,Not Employed,Other,Under $25000,White,Chicken_Chicken Past 30 1-2
1074,35-39,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Professionals,Under $25000,Filipino,Burgers_Burger Past 30 1-2
1075,40-44,Quebec,Male,English,English,None,Not Employed,Skilled,$50000-$59999,White,Burgers_Burger Past 30 1-2
1076,65-69,Alberta,Male,English,French,Bachelors Degrees,Full-Time,Skilled,$60000-$74999,White,Burgers_Burger Past 30 1-2
1077,45-49,British Columbia,Male,English,English,Elementary School Graduation Cert,Part-Time,Other,$150000-$199999,White,Chicken_Chicken Past 30 1-2
1078,18 Years,Saskatchewan,Female,Chinese - Mandarin,English,Bachelors Degrees,Part-Time,Other,$40000-$49999,Not Stated,Burgers_Burger Past 30 1-2
1079,35-39,Quebec,Female,French,English,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,$25000-$34999,White,Burgers_Burger past 30 3-4
1080,50-54,Ontario,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Technical/Sales/Teaching/Other White Collar,$40000-$49999,Black,Chicken_Chicken Past 30 1-2
1081,15-17,Ontario,Male,Tagalog,English,High School Graduation Certificate,Not Employed,Unskilled,$75000-$99999,White,Burgers_Burger Past 30 1-2
1082,35-39,Prince Edward Island,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Clerical/Secretarial,$75000-$99999,Korean,Burgers_Burger Past 30 1-2
1083,45-49,Ontario,Male,English,English,Elementary School Graduation Cert,Part-Time,Technical/Sales/Teaching/Other White Collar,Under $25000,White,Chicken_Chicken past 30 3-4
1084,50-54,Ontario,Female,English,English,None,Not Employed,Unskilled,$40000-$49999,White,Chicken_Chicken Past 30 1-2
1085,25-29,Manitoba,Female,English,English,Trade Certificate/Diploma,Full-Time,Clerical/Secretarial,$100000-$124999,White,Burgers_Burger Past 30 5+
1086,30-34,Quebec,Female,French,French,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,Under $25000,White,Burgers_Burger Past 30 1-2
1087,35-39,British Columbia,Female,French,English,Elementary School Graduation Cert,Not Employed,Clerical/Secretarial,$200000 Or Over,White,Burgers_Burger past 30 3-4
1088,70+,Ontario,Male,French,English,Trade Certificate/Diploma,Full-Time,Other,$40000-$49999,White,Chicken_Chicken Past 30 1-2
1089,30-34,Manitoba,Female,English,French,Bachelors Degrees,Not Employed,Senior Managers/Owners,Under $25000,White,Burgers_Burger past 30 3-4
1090,35-39,Prince Edward Island,Male,English,English,Trade Certificate/Diploma,Full-Time,Clerical/Secretarial,$25000-$34999,Filipino,Burgers_Burger Past 30 5+
1091,45-49,Ontario,Male,French,Chinese-Cantonese,Univ Cert/Dipl Below Bachelor Level,Full-Time,Technical/Sales/Teaching/Other White Collar,$60000-$74999,White,Burgers_Burger Past 30 1-2
1092,50-54,Quebec,Female,English,English,Elementary School Graduation Cert,Not Employed,Other,$150000-$199999,White,Burgers_Burger Past 30 1-2
1093,40-44,Ontario,Female,English,French,Univ Cert/Dipl Above Bachelor Level,Not Employed,Other Managers,$100000-$124999,White,Burgers_Burger Past 30 1-2
1094,45-49,Ontario,Female,English,English,Bachelors Degrees,Not Employed,Other,Under $25000,Aboriginal,Burgers_Burger Past 30 1-2
1095,40-44,Ontario,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Other,$60000-$74999,White,Chicken_Chicken past 30 3-4
1096,30-34,Alberta,Female,Spanish,Tagalog,High School Graduation Certificate,Part-Time,Other,$75000-$99999,Other,Chicken_Chicken Past 30 1-2
1097,70+,British Columbia,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,$40000-$49999,White,Burgers_Burger Past 30 5+
1098,25-29,Alberta,Male,Other,English,Other Certificate/Diploma Not Univ,Full-Time,Clerical/Secretarial,$150000-$199999,White,Burgers_Burger Past 30 1-2
1099,30-34,British Columbia,Female,French,English,Elementary School Graduation Cert,Full-Time,Professionals,$60000-$74999,Black,Burgers_Burger Past 30 1-2
1100,20-21,Saskatchewan,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Other,$75000-$99999,Black,Chicken_Chicken Past 30 1-2
1101,65-69,Alberta,Male,English,Indian-Hindi,Earned Doctorate,Not Employed,Clerical/Secretarial,$75000-$99999,Black,Burgers_Burger Past 30 1-2
1102,30-34,Ontario,Female,English,French,High School Graduation Certificate,Full-Time,Other,$35000-$39999,White,Chicken_Chicken Past 30 5+
1103,45-49,Quebec,Male,English,English,High School Graduation Certificate,Not Employed,Other Managers,$100000-$124999,East/South Asian (Cambodian Indonesian),Burgers_Burger Past 30 1-2
1104,55-59,Ontario,Male,French,Indian-Punjabi,High School Graduation Certificate,Full-Time,Other,Under $25000,Black,Chicken_Chicken Past 30 1-2
1105,55-59,New Brunswick,Female,English,English,Bachelors Degrees,Full-Time,Other,$60000-$74999,White,Burgers_Burger Past 30 5+
1106,60-64,Quebec,Male,English,English,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,$125000-$149999,White,Burgers_Burger Past 30 5+
1107,30-34,Manitoba,Male,English,English,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,$200000 Or Over,White,Chicken_Chicken past 30 3-4
1108,50-54,Ontario,Female,English,English,Trade Certificate/Diploma,Not Employed,Unskilled,$75000-$99999,White,Popeye (Less) 1-2
1109,60-64,Nova Scotia,Male,English,English,Elementary School Graduation Cert,Not Employed,Skilled,$200000 Or Over,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
1110,60-64,Quebec,Female,English,French,Elementary School Graduation Cert,Full-Time,Other Managers,$125000-$149999,White,Popeyes 1-2
1111,25-29,Ontario,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Clerical/Secretarial,$100000-$124999,Aboriginal,Chicken_Chicken Past 30 1-2
1112,15-17,Ontario,Female,English,French,Univ Cert/Dipl Above Bachelor Level,Full-Time,Other Managers,$25000-$34999,White,Burgers_Burger Past 30 1-2
1113,25-29,Ontario,Female,English,English,Trade Certificate/Diploma,Full-Time,Other Managers,$150000-$199999,White,Burgers_Burger past 30 3-4
1114,35-39,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other Managers,$35000-$39999,White,Chicken_Chicken Past 30 1-2
1115,65-69,Ontario,Female,English,English,High School Graduation Certificate,Not Employed,Other,$150000-$199999,White,Chicken_Chicken Past 30 1-2
1116,55-59,British Columbia,Female,Chinese - Mandarin,English,Bachelors Degrees,Not Employed,Other,$60000-$74999,East/South Asian (Cambodian Indonesian),Chicken_Chicken Past 30 1-2
1117,30-34,Alberta,Female,French,French,Bachelors Degrees,Not Employed,Clerical/Secretarial,Under $25000,White,Burgers_Burger Past 30 1-2
1118,55-59,Ontario,Male,English,English,Degree In Medicine/Dentistry/ Veterinary Medic,Not Employed,Unskilled,$200000 Or Over,White,Burgers_Burger Past 30 1-2
1119,65-69,Ontario,Male,English,English,Bachelors Degrees,Not Employed,Other,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
1120,60-64,Ontario,Female,French,English,High School Graduation Certificate,Part-Time,Clerical/Secretarial,Under $25000,White,Burgers_Burger Past 30 1-2
1121,20-21,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,$40000-$49999,Chinese,Burgers_Burger Past 30 1-2
1122,19 Years,Alberta,Male,French,English,Other Certificate/Diploma Not Univ,Full-Time,Clerical/Secretarial,Under $25000,White,Popeye (Less) 3-4
1123,60-64,Manitoba,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,$200000 Or Over,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
1124,40-44,Ontario,Male,English,English,Masters Degrees,Not Employed,Clerical/Secretarial,$35000-$39999,White,Burgers_Burger Past 30 1-2
1125,40-44,Ontario,Female,English,French,Bachelors Degrees,Full-Time,Other,$35000-$39999,White,Chicken_Chicken Past 30 1-2
1126,55-59,Ontario,Female,English,English,Univ Cert/Dipl Above Bachelor Level,Not Employed,Other Managers,$25000-$34999,East/South Asian (Cambodian Indonesian),Popeye (Less) 1-2
1127,60-64,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
1128,65-69,Ontario,Female,French,English,Trade Certificate/Diploma,Not Employed,Other,$150000-$199999,Black,Popeye (Less) 1-2
1129,50-54,Quebec,Female,French,English,Trade Certificate/Diploma,Full-Time,Other,$50000-$59999,Arab,Burgers_Burger Past 30 1-2
1130,50-54,Manitoba,Female,French,English,Bachelors Degrees,Part-Time,Other,$60000-$74999,Black,Burgers_Burger Past 30 1-2
1131,70+,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
1132,50-54,Alberta,Male,English,French,Trade Certificate/Diploma,Not Employed,Skilled,$50000-$59999,White,Chicken_Chicken Past 30 1-2
1133,45-49,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
1134,25-29,Quebec,Male,Other,English,High School Graduation Certificate,Full-Time,Other,$125000-$149999,White,Chicken_Chicken Past 30 1-2
1135,18 Years,Quebec,Male,English,English,Trade Certificate/Diploma,Full-Time,Other Managers,$150000-$199999,White,Burgers_Burger Past 30 1-2
1136,70+,Prince Edward Island,Male,French,English,Bachelors Degrees,Full-Time,Clerical/Secretarial,$25000-$34999,Chinese,Popeyes 5+
1137,40-44,Ontario,Male,French,English,Other Certificate/Diploma Not Univ,Not Employed,Clerical/Secretarial,$75000-$99999,Arab,Burgers_Burger Past 30 1-2
1138,22-24,Quebec,Male,Other,English,Elementary School Graduation Cert,Full-Time,Other,$50000-$59999,White,Burgers_Burger Past 30 1-2
1139,18 Years,New Brunswick,Female,English,French,Bachelors Degrees,Full-Time,Other,$100000-$124999,White,Burgers_Burger past 30 3-4
1140,65-69,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Part-Time,Other,$35000-$39999,White,Chicken_Chicken Past 30 1-2
1141,35-39,Quebec,Female,Other,English,Elementary School Graduation Cert,Not Employed,Other,$125000-$149999,Latin/Central and South American,Burgers_Burger Past 30 5+
1142,55-59,British Columbia,Female,Tagalog,English,High School Graduation Certificate,Full-Time,Skilled,Under $25000,White,Burgers_Burger Past 30 1-2
1143,15-17,Quebec,Female,English,Chinese-Cantonese,Bachelors Degrees,Not Employed,Unskilled,Under $25000,Not Stated,Burgers_Burger Past 30 1-2
1144,50-54,Ontario,Male,English,Other,Trade Certificate/Diploma,Full-Time,Other,$50000-$59999,White,Popeye (Less) 1-2
1145,30-34,Ontario,Male,French,French,None,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
1146,55-59,Quebec,Male,English,French,Elementary School Graduation Cert,Full-Time,Skilled,$125000-$149999,Other,Burgers_Burger past 30 3-4
1147,50-54,Ontario,Female,French,French,Degree In Medicine/Dentistry/ Veterinary Medic,Not Employed,Other Managers,$40000-$49999,White,Burgers_Burger Past 30 1-2
1148,70+,Alberta,Male,Tagalog,English,High School Graduation Certificate,Full-Time,Other Managers,$25000-$34999,White,Burgers_Burger Past 30 1-2
1149,18 Years,Quebec,Female,French,French,None,Part-Time,Primary,$50000-$59999,Aboriginal,Burgers_Burger past 30 3-4
1150,70+,Alberta,Male,English,French,Univ Cert/Dipl Above Bachelor Level,Not Employed,Other,$40000-$49999,Not Stated,Burgers_Burger past 30 3-4
1151,50-54,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,$50000-$59999,White,Burgers_Burger Past 30 1-2
1152,70+,Alberta,Female,French,English,Elementary School Graduation Cert,Not Employed,Clerical/Secretarial,$75000-$99999,White,Chicken_Chicken Past 30 1-2
1153,70+,British Columbia,Female,English,English,Trade Certificate/Diploma,Part-Time,Other Managers,Under $25000,White,Burgers_Burger Past 30 1-2
1154,30-34,Alberta,Female,English,English,Bachelors Degrees,Full-Time,Other,$50000-$59999,White,Burgers_Burger Past 30 1-2
1155,55-59,Quebec,Female,English,English,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,Under $25000,White,Chicken_Chicken Past 30 1-2
1156,15-17,New Brunswick,Female,French,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$25000-$34999,Arab,Chicken_Chicken Past 30 1-2
1157,60-64,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,$125000-$149999,White,Burgers_Burger past 30 3-4
1158,50-54,Ontario,Male,Indian-Hindi,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,$50000-$59999,White,Burgers_Burger Past 30 1-2
1159,45-49,Alberta,Male,English,English,Trade Certificate/Diploma,Part-Time,Senior Managers/Owners,Under $25000,White,Chicken_Chicken Past 30 1-2
1160,60-64,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,$75000-$99999,Black,Burgers_Burger Past 30 1-2
1161,15-17,Ontario,Female,French,Tagalog,High School Graduation Certificate,Not Employed,Unskilled,$125000-$149999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
1162,40-44,Nova Scotia,Female,French,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$150000-$199999,White,Chicken_Chicken Past 30 5+
1163,45-49,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Other,$40000-$49999,Not Stated,Burgers_Burger Past 30 1-2
1164,60-64,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Other,$60000-$74999,Filipino,Burgers_Burger past 30 3-4
1165,45-49,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Other,$40000-$49999,White,Burgers_Burger Past 30 5+
1166,70+,Manitoba,Female,French,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Other,$60000-$74999,White,Burgers_Burger Past 30 1-2
1167,14 Years,Quebec,Female,English,English,None,Full-Time,Other Managers,$35000-$39999,White,Burgers_Burger past 30 3-4
1168,45-49,British Columbia,Female,English,English,Degree In Medicine/Dentistry/ Veterinary Medic,Not Employed,Other,$25000-$34999,White,Burgers_Burger Past 30 1-2
1169,55-59,Newfoundland and Labrador,Female,Spanish,English,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,$100000-$124999,White,Burgers_Burger past 30 3-4
1170,65-69,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Skilled,$75000-$99999,White,Burgers_Burger Past 30 1-2
1171,65-69,Alberta,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
1172,15-17,Ontario,Male,English,French,High School Graduation Certificate,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
1173,30-34,Nova Scotia,Male,English,French,Univ Cert/Dipl Below Bachelor Level,Full-Time,Unskilled,$75000-$99999,White,Chicken_Chicken Past 30 1-2
1174,60-64,Quebec,Female,English,English,None,Full-Time,Other,$35000-$39999,White,Chicken_Chicken past 30 3-4
1175,65-69,British Columbia,Male,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$200000 Or Over,White,Popeye (Less) 1-2
1176,40-44,Ontario,Male,French,French,High School Graduation Certificate,Not Employed,Other,$35000-$39999,Black,Chicken_Chicken Past 30 1-2
1177,30-34,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
1178,70+,Ontario,Male,Indian-Other,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$25000-$34999,White,Chicken_Chicken past 30 3-4
1179,15-17,Alberta,Female,French,French,Masters Degrees,Full-Time,Other,$25000-$34999,White,Burgers_Burger Past 30 1-2
1180,70+,Quebec,Male,English,English,High School Graduation Certificate,Full-Time,Other,$60000-$74999,Black,Burgers_Burger Past 30 1-2
1181,30-34,Ontario,Male,Indian-Punjabi,French,Elementary School Graduation Cert,Not Employed,Other,$35000-$39999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
1182,55-59,Ontario,Male,Tagalog,English,Other Certificate/Diploma Not Univ,Full-Time,Clerical/Secretarial,Under $25000,Not Stated,Burgers_Burger Past 30 1-2
1183,70+,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Clerical/Secretarial,$150000-$199999,White,Burgers_Burger Past 30 1-2
1184,35-39,Quebec,Female,English,English,Bachelors Degrees,Not Employed,Other,$60000-$74999,White,Popeyes 5+
1185,65-69,Quebec,Male,English,English,High School Graduation Certificate,Full-Time,Other,Under $25000,White,Burgers_Burger past 30 3-4
1186,30-34,Quebec,Female,English,French,High School Graduation Certificate,Full-Time,Senior Managers/Owners,$75000-$99999,White,Burgers_Burger Past 30 1-2
1187,70+,Ontario,Male,French,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Technical/Sales/Teaching/Other White Collar,$75000-$99999,White,Burgers_Burger Past 30 1-2
1188,50-54,Manitoba,Male,English,Indian-Other,Bachelors Degrees,Part-Time,Other,$50000-$59999,White,Chicken_Chicken Past 30 1-2
