,Age,Geo,Gender,Language_Spoken,Language_Used,HH_Structure,Education,Occupation,HH_Income,Personal_Income,Ethnic_Background 
4408,50-54,Alberta,Female,Other,French,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$100,000-$124,999","$25,000-$34,999",White
4409,55-59,Ontario,Female,English,Indian-Hindi,Adult With Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$60,000-$74,999","$25,000-$34,999",White
4410,55-59,New Brunswick,Male,English,French,Empty Nesters,High School Graduation Certificate,Skilled,"$150,000-$199,999","$75,000-$99,999",White
4411,30-34,Ontario,Male,English,English,Adult Living Alone,Elementary School Graduation Cert,Other,"$35,000-$39,999","Under $25,000",White
4412,22-24,Ontario,Female,Indian-Hindi,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$200,000 Or Over","Under $25,000",White
4413,60-64,Quebec,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Clerical/Secretarial,"$100,000-$124,999","$40,000-$49,999",White
4414,55-59,British Columbia,Male,Spanish,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$100,000-$124,999","$100,000-$124,999",White
4415,45-49,British Columbia,Male,English,English,Empty Nesters,Trade Certificate/Diploma,Other,"$75,000-$99,999","$40,000-$49,999",White
4416,50-54,Ontario,Female,German,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"$100,000-$124,999","$40,000-$49,999",White
4417,40-44,Ontario,Female,Other,English,Empty Nesters,Trade Certificate/Diploma,Other,"$100,000-$124,999","$25,000-$34,999",Filipino
4418,35-39,Ontario,Male,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Other Managers,"$150,000-$199,999","Under $25,000",Arab
4419,30-34,Quebec,Female,English,English,Adult With Children Living At Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","Under $25,000","West Asian (Afghan, Iranian, etc.)"
4420,35-39,Manitoba,Male,English,English,Adult With Children Living At Home,Elementary School Graduation Cert,Other Managers,"Under $25,000","$100,000-$124,999",Black
4421,65-69,Quebec,Female,English,French,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"$125,000-$149,999","$50,000-$59,999",White
4422,35-39,Quebec,Female,English,English,Adult With Children Living At Home,High School Graduation Certificate,Skilled,"$40,000-$49,999","$25,000-$34,999",White
4423,50-54,Ontario,Male,French,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$100,000-$124,999","Under $25,000",Chinese
4424,55-59,British Columbia,Male,English,English,Adult Living Alone,High School Graduation Certificate,Other,"$75,000-$99,999","Under $25,000",Not Stated
4425,60-64,Quebec,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$75,000-$99,999","Under $25,000","West Asian (Afghan, Iranian, etc.)"
4426,65-69,Nova Scotia,Female,English,English,Empty Nesters,Trade Certificate/Diploma,Clerical/Secretarial,"$75,000-$99,999","Under $25,000",Chinese
4427,40-44,British Columbia,Male,English,English,Empty Nesters,Trade Certificate/Diploma,Other,"$75,000-$99,999","$60,000-$74,999",White
4428,45-49,Saskatchewan,Male,Chinese - Mandarin,English,Couple With Children Living at Home,Elementary School Graduation Cert,Skilled,"$40,000-$49,999","$35,000-$39,999",Chinese
4429,50-54,Ontario,Male,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$200,000 Or Over","$60,000-$74,999",White
4430,45-49,British Columbia,Female,Other,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other Managers,"$200,000 Or Over","Under $25,000",White
4431,25-29,Quebec,Male,French,English,Couple With Children Living at Home,"""Bachelors Degrees""",Unskilled,"$200,000 Or Over","Under $25,000",White
4432,35-39,Ontario,Male,French,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"Under $25,000","Under $25,000",Aboriginal
4433,55-59,Ontario,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"Under $25,000","$25,000-$34,999",White
4434,35-39,Alberta,Female,Spanish,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Senior Managers/Owners,"$50,000-$59,999","Under $25,000",White
4435,55-59,Ontario,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Unskilled,"$100,000-$124,999","Under $25,000",White
4436,65-69,Quebec,Female,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Other,"$100,000-$124,999","$60,000-$74,999",White
4437,70+,Quebec,Male,English,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","$35,000-$39,999",White
4438,18 Years,Ontario,Male,English,English,Empty Nesters,"""Bachelors Degrees""",Professionals,"$75,000-$99,999","$25,000-$34,999",White
4439,40-44,Ontario,Female,English,French,Couple - No Children Living At Home,High School Graduation Certificate,Other Managers,"Under $25,000","$35,000-$39,999",Black
4440,50-54,Ontario,Female,English,English,Adult Living Alone,Earned Doctorate,Other,"$40,000-$49,999","$200,000 Or Over",White
4441,14 Years,Ontario,Female,English,Spanish,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$50,000-$59,999","Under $25,000",White
4442,30-34,Ontario,Male,Chinese - Mandarin,English,Adult With Children Living At Home,Trade Certificate/Diploma,Other,"$100,000-$124,999","Under $25,000",White
4443,55-59,Ontario,Male,English,French,Couple - No Children Living At Home,High School Graduation Certificate,Other Managers,"$125,000-$149,999","$25,000-$34,999",White
4444,30-34,Ontario,Female,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Skilled,"$100,000-$124,999","$60,000-$74,999",White
4445,50-54,Newfoundland and Labrador,Male,English,French,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"Under $25,000","$40,000-$49,999",White
4446,15-17,Saskatchewan,Female,Ukrainian,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Other Managers,"$75,000-$99,999","Under $25,000",White
4447,25-29,Ontario,Female,English,Vietnamese,Adult Sharing Accommodation,Elementary School Graduation Cert,Other,"$75,000-$99,999","$50,000-$59,999",White
4448,22-24,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Skilled,"$150,000-$199,999","$60,000-$74,999",White
4449,40-44,New Brunswick,Male,Indian-Punjabi,English,Adult With Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$40,000-$49,999","Under $25,000",White
4450,50-54,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"Under $25,000","$25,000-$34,999",White
4451,65-69,Ontario,Female,Italian,French,Couple With Children Living at Home,None,Other,"$150,000-$199,999","$50,000-$59,999",White
4452,18 Years,Ontario,Female,English,English,Couple With Children Living at Home,Univ. Cert./Dipl. Above Bachelor Level,Other,"$60,000-$74,999","$25,000-$34,999",White
4453,60-64,Quebec,Male,German,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","$35,000-$39,999",White
4454,50-54,Quebec,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other Managers,"$25,000-$34,999","Under $25,000",Chinese
4455,25-29,Ontario,Male,English,English,Adult With Children Living At Home,High School Graduation Certificate,Professionals,"$100,000-$124,999","$50,000-$59,999",White
4456,40-44,Manitoba,Female,French,English,Adult With Children Living At Home,High School Graduation Certificate,Clerical/Secretarial,"$25,000-$34,999","$50,000-$59,999",White
4457,30-34,Manitoba,Female,English,Other,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$35,000-$39,999","$40,000-$49,999",White
4458,50-54,Ontario,Female,Other,English,Adult With Children Living At Home,Univ. Cert./Dipl. Above Bachelor Level,Professionals,"$60,000-$74,999","Under $25,000",White
4459,35-39,Ontario,Female,English,English,Empty Nesters,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"Under $25,000",None,White
4460,45-49,Manitoba,Male,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Other Managers,"$40,000-$49,999","$50,000-$59,999",White
4461,25-29,Ontario,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Senior Managers/Owners,"$60,000-$74,999","Under $25,000",White
4462,50-54,Quebec,Female,French,French,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"Under $25,000","$60,000-$74,999",White
4463,65-69,British Columbia,Female,Spanish,Other,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"$25,000-$34,999","Under $25,000",White
4464,45-49,Ontario,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$125,000-$149,999","$40,000-$49,999",White
4465,55-59,Ontario,Female,English,English,Other,Elementary School Graduation Cert,Other Managers,"$75,000-$99,999","$25,000-$34,999",Filipino
4466,19 Years,Ontario,Male,English,English,Empty Nesters,Univ. Cert./Dipl. Above Bachelor Level,Other,"$25,000-$34,999","$75,000-$99,999",White
4467,40-44,Ontario,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$75,000-$99,999","$35,000-$39,999",White
4468,65-69,Ontario,Male,Chinese-Cantonese,English,Other,Univ. Cert./Dipl. Above Bachelor Level,Other,"$75,000-$99,999","Under $25,000",White
4469,45-49,Ontario,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$100,000-$124,999","Under $25,000",Other
4470,55-59,Quebec,Female,French,English,Couple With Children Living at Home,"""Bachelors Degrees""",Senior Managers/Owners,"Under $25,000","$25,000-$34,999",White
4471,22-24,Nova Scotia,Female,French,Other,Other,Elementary School Graduation Cert,Clerical/Secretarial,"$35,000-$39,999","Under $25,000",White
4472,70+,Alberta,Female,English,French,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"$75,000-$99,999","$60,000-$74,999",White
4473,35-39,Ontario,Male,English,English,Empty Nesters,Elementary School Graduation Cert,Professionals,"$40,000-$49,999","$40,000-$49,999",White
4474,25-29,Ontario,Female,English,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$125,000-$149,999",None,"South Asian (East Indian, Pakistani)"
4475,22-24,Ontario,Male,English,French,Couple - No Children Living At Home,"""Bachelors Degrees""",Other Managers,"Under $25,000","$60,000-$74,999",Not Stated
4476,65-69,Alberta,Female,English,Greek,Other,High School Graduation Certificate,Clerical/Secretarial,"$25,000-$34,999","$60,000-$74,999",White
4477,35-39,Quebec,Male,German,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Senior Managers/Owners,"$75,000-$99,999","$50,000-$59,999",White
4478,60-64,Alberta,Male,Other,Chinese - Mandarin,Couple With Children Living at Home,"""Masters Degrees""",Other,"$25,000-$34,999","$25,000-$34,999",White
4479,35-39,Alberta,Female,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","Under $25,000",White
4480,40-44,Alberta,Male,Chinese-Cantonese,French,Couple With Children Living at Home,Univ. Cert./Dipl. Above Bachelor Level,Skilled,"Under $25,000","$60,000-$74,999",White
4481,60-64,Nova Scotia,Female,Italian,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999","$60,000-$74,999",Other
4482,60-64,New Brunswick,Female,English,Other,Empty Nesters,"""Bachelors Degrees""",Other,"$25,000-$34,999","$75,000-$99,999",White
4483,20-21,Ontario,Female,Spanish,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$25,000-$34,999",None,White
4484,50-54,Ontario,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$75,000-$99,999","$40,000-$49,999",White
4485,45-49,British Columbia,Female,Chinese - Mandarin,English,Adult With Children Living At Home,High School Graduation Certificate,Clerical/Secretarial,"$100,000-$124,999","$50,000-$59,999",White
4486,35-39,Nova Scotia,Male,English,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Other Managers,"Under $25,000","Under $25,000",Not Stated
4487,30-34,Manitoba,Female,Indian-Other,English,Adult Sharing Accommodation,None,Clerical/Secretarial,"$100,000-$124,999","$60,000-$74,999",White
4488,30-34,Ontario,Male,Chinese-Cantonese,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Unskilled,"$40,000-$49,999","$75,000-$99,999",White
4489,45-49,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$125,000-$149,999","$40,000-$49,999",Japanese
4490,15-17,Quebec,Female,English,English,Couple - No Children Living At Home,None,Other Managers,"$200,000 Or Over","$100,000-$124,999",Filipino
4491,30-34,Quebec,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999",None,White
4492,70+,Ontario,Male,English,English,Adult Living Alone,Elementary School Graduation Cert,Other,"$75,000-$99,999","$75,000-$99,999",Aboriginal
4493,65-69,Alberta,Male,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$75,000-$99,999","$40,000-$49,999",White
4494,45-49,Ontario,Female,French,English,Other,Univ. Cert./Dipl. Above Bachelor Level,Unskilled,"$100,000-$124,999",None,White
4495,40-44,Ontario,Female,French,French,Couple - No Children Living At Home,"""Masters Degrees""",Unskilled,"$60,000-$74,999",None,White
4496,60-64,British Columbia,Female,French,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$200,000 Or Over","$25,000-$34,999",White
4497,55-59,Saskatchewan,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$60,000-$74,999","$60,000-$74,999",White
4498,50-54,Ontario,Male,Indian-Punjabi,French,Couple With Children Living at Home,High School Graduation Certificate,Professionals,"$75,000-$99,999","$150,000-$199,999",Not Stated
4499,30-34,Ontario,Female,Other,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"$50,000-$59,999","$40,000-$49,999",Not Stated
4500,40-44,Ontario,Male,English,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","Under $25,000",Aboriginal
4501,35-39,Quebec,Male,English,English,Empty Nesters,Univ. Cert./Dipl. Above Bachelor Level,Professionals,"$40,000-$49,999","$35,000-$39,999",White
4502,55-59,Ontario,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$150,000-$199,999","$100,000-$124,999",White
4503,55-59,Quebec,Male,Spanish,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"Under $25,000","Under $25,000",Not Stated
4504,20-21,Saskatchewan,Female,Other,French,Couple - No Children Living At Home,Trade Certificate/Diploma,Other Managers,"$25,000-$34,999","Under $25,000",White
4505,65-69,Ontario,Female,Greek,French,Couple - No Children Living At Home,"""Bachelors Degrees""",Skilled,"$75,000-$99,999",None,Black
4506,70+,Alberta,Female,French,English,Empty Nesters,High School Graduation Certificate,Other,"$25,000-$34,999","Under $25,000",White
4507,45-49,Alberta,Male,English,French,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"Under $25,000","$100,000-$124,999",Black
4508,40-44,Nova Scotia,Male,French,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$100,000-$124,999","Under $25,000",White
4509,40-44,Newfoundland and Labrador,Female,French,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$100,000-$124,999","Under $25,000",White
4510,25-29,Alberta,Male,English,French,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$75,000-$99,999","Under $25,000",White
4511,25-29,Ontario,Male,French,English,Empty Nesters,"""Masters Degrees""",Other Managers,"$50,000-$59,999","$25,000-$34,999",White
4512,55-59,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$200,000 Or Over",None,"South Asian (East Indian, Pakistani)"
4513,65-69,Ontario,Female,English,French,Adult Living Alone,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"Under $25,000","$60,000-$74,999","South Asian (East Indian, Pakistani)"
4514,45-49,Manitoba,Male,French,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Skilled,"$60,000-$74,999","Under $25,000",White
4515,35-39,Quebec,Male,Other,French,Empty Nesters,High School Graduation Certificate,Other,"$150,000-$199,999","$50,000-$59,999",White
4516,18 Years,Quebec,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Unskilled,"$125,000-$149,999","$200,000 Or Over",White
4517,30-34,British Columbia,Female,Tagalog,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Skilled,"$25,000-$34,999","$75,000-$99,999",White
4518,55-59,Ontario,Male,English,English,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Other Managers,"$100,000-$124,999","Under $25,000",White
4519,60-64,Ontario,Male,French,French,Couple With Children Living at Home,Elementary School Graduation Cert,Senior Managers/Owners,"$25,000-$34,999","Under $25,000",White
4520,30-34,Ontario,Male,English,French,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Senior Managers/Owners,"$150,000-$199,999","Under $25,000",Black
4521,50-54,Ontario,Male,English,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Skilled,"$40,000-$49,999","$200,000 Or Over",White
4522,45-49,Alberta,Male,English,Other,Couple With Children Living at Home,"""Masters Degrees""",Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","$100,000-$124,999","South Asian (East Indian, Pakistani)"
4523,55-59,Ontario,Female,French,English,Adult Living Alone,Univ. Cert./Dipl. Above Bachelor Level,Technical/Sales/Teaching/Other White Collar,"Under $25,000","$50,000-$59,999",White
4524,65-69,Ontario,Female,German,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Skilled,"$100,000-$124,999","Under $25,000",White
4525,45-49,Ontario,Female,French,French,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$40,000-$49,999","$50,000-$59,999",White
4526,65-69,Nova Scotia,Female,English,Chinese - Mandarin,Adult Sharing Accommodation,Univ. Cert./Dipl. Below Bachelor Level,Professionals,"$100,000-$124,999","$25,000-$34,999",White
4527,60-64,Alberta,Male,French,English,Couple With Children Living at Home,High School Graduation Certificate,Unskilled,"Under $25,000","$35,000-$39,999",White
4528,55-59,Nova Scotia,Male,English,English,Other,High School Graduation Certificate,Other,"$100,000-$124,999","$75,000-$99,999",White
4529,40-44,Ontario,Male,French,English,Adult Living Alone,High School Graduation Certificate,Other,"Under $25,000","$25,000-$34,999",White
4530,20-21,British Columbia,Male,Chinese-Cantonese,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$75,000-$99,999","$50,000-$59,999",White
4531,30-34,Ontario,Male,French,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$200,000 Or Over",None,White
4532,55-59,Ontario,Male,Indian-Punjabi,French,Couple - No Children Living At Home,Degree In Medicine/Dentistry/ Veterinary Medic,Other,"$75,000-$99,999","$75,000-$99,999",White
4533,40-44,Ontario,Female,English,Tagalog,Couple - No Children Living At Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","Under $25,000",White
4534,50-54,British Columbia,Female,Indian-Punjabi,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Senior Managers/Owners,"$100,000-$124,999","$25,000-$34,999","South Asian (East Indian, Pakistani)"
4535,25-29,British Columbia,Male,English,English,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Professionals,"$100,000-$124,999","$50,000-$59,999",White
4536,40-44,British Columbia,Male,English,English,Adult Living Alone,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$35,000-$39,999","$150,000-$199,999",White
4537,55-59,Ontario,Male,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$100,000-$124,999","$60,000-$74,999",White
4538,55-59,Quebec,Male,Spanish,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$125,000-$149,999","$25,000-$34,999",White
4539,70+,Ontario,Male,English,English,Couple With Children Living at Home,"""Masters Degrees""",Other,"$150,000-$199,999","$50,000-$59,999",White
4540,70+,Quebec,Male,French,English,Adult Sharing Accommodation,"""Bachelors Degrees""",Other Managers,"$125,000-$149,999","$35,000-$39,999",Not Stated
4541,60-64,Ontario,Female,English,English,Couple - No Children Living At Home,"""Masters Degrees""",Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","$100,000-$124,999",White
4542,30-34,Quebec,Female,English,English,Empty Nesters,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","$75,000-$99,999",White
4543,35-39,Ontario,Male,French,English,Adult Living Alone,Univ. Cert./Dipl. Below Bachelor Level,Other,"$125,000-$149,999","Under $25,000",White
4544,40-44,Newfoundland and Labrador,Female,French,French,Couple - No Children Living At Home,Univ. Cert./Dipl. Below Bachelor Level,Unskilled,"$35,000-$39,999","$100,000-$124,999",White
4545,70+,Ontario,Female,French,French,Couple - No Children Living At Home,Univ. Cert./Dipl. Above Bachelor Level,Professionals,"$150,000-$199,999","Under $25,000",White
4546,55-59,Ontario,Female,English,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Other Managers,"$40,000-$49,999","Under $25,000",Other
4547,50-54,Ontario,Male,English,French,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$25,000-$34,999","Under $25,000",White
4548,25-29,Ontario,Female,English,English,Couple - No Children Living At Home,Univ. Cert./Dipl. Below Bachelor Level,Other,"$60,000-$74,999","$50,000-$59,999",White
4549,70+,Ontario,Male,Other,English,Adult With Children Living At Home,High School Graduation Certificate,Other,"$60,000-$74,999","Under $25,000",White
4550,50-54,Ontario,Male,French,English,Adult With Children Living At Home,High School Graduation Certificate,Unskilled,"$50,000-$59,999",None,White
4551,70+,Nova Scotia,Female,Ukrainian,French,Couple - No Children Living At Home,High School Graduation Certificate,Clerical/Secretarial,"$100,000-$124,999","$50,000-$59,999","South Asian (East Indian, Pakistani)"
4552,50-54,Quebec,Male,English,English,Adult Living Alone,High School Graduation Certificate,Other,"$75,000-$99,999","$40,000-$49,999",Aboriginal
4553,30-34,Alberta,Female,French,French,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Senior Managers/Owners,"$200,000 Or Over","Under $25,000",White
4554,40-44,Quebec,Female,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other Managers,"$60,000-$74,999","Under $25,000",White
4555,35-39,Nova Scotia,Female,French,French,Couple With Children Living at Home,Univ. Cert./Dipl. Above Bachelor Level,Other,"$150,000-$199,999","$100,000-$124,999",White
4556,30-34,Nova Scotia,Female,English,French,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"$60,000-$74,999","$75,000-$99,999",White
4557,70+,Quebec,Male,English,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$40,000-$49,999","Under $25,000",White
4558,50-54,Alberta,Male,English,English,Couple With Children Living at Home,Univ. Cert./Dipl. Above Bachelor Level,Professionals,"Under $25,000","$75,000-$99,999",White
4559,65-69,Alberta,Female,Ukrainian,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$200,000 Or Over","$35,000-$39,999",White
4560,15-17,Ontario,Female,English,English,Other,None,Other,"Under $25,000","$50,000-$59,999",White
4561,40-44,Ontario,Male,French,English,Other,High School Graduation Certificate,Other,"$200,000 Or Over","$200,000 Or Over","South Asian (East Indian, Pakistani)"
4562,45-49,Ontario,Male,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Technical/Sales/Teaching/Other White Collar,"Under $25,000","$75,000-$99,999",Japanese
4563,35-39,Quebec,Male,English,English,Other,High School Graduation Certificate,Other,"$75,000-$99,999",None,White
4564,35-39,British Columbia,Male,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$35,000-$39,999","$60,000-$74,999",White
4565,45-49,British Columbia,Male,English,English,Couple With Children Living at Home,None,Other,"$40,000-$49,999","$40,000-$49,999",White
4566,45-49,Quebec,Male,English,Indian-Other,Adult Sharing Accommodation,High School Graduation Certificate,Other,"$35,000-$39,999","$50,000-$59,999",White
4567,45-49,Ontario,Male,Indian-Punjabi,English,Couple - No Children Living At Home,High School Graduation Certificate,Clerical/Secretarial,"Under $25,000","$40,000-$49,999",White
4568,55-59,Newfoundland and Labrador,Male,English,English,Other,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","Under $25,000",White
4569,70+,Quebec,Female,Indian-Hindi,English,Empty Nesters,Trade Certificate/Diploma,Other,"$75,000-$99,999","$25,000-$34,999",White
4570,70+,New Brunswick,Female,French,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$100,000-$124,999","$75,000-$99,999",White
4571,55-59,New Brunswick,Male,French,French,Couple With Children Living at Home,Elementary School Graduation Cert,Clerical/Secretarial,"$25,000-$34,999","$40,000-$49,999",White
4572,30-34,Ontario,Female,English,English,Other,"""Bachelors Degrees""",Other,"$50,000-$59,999","$35,000-$39,999","West Asian (Afghan, Iranian, etc.)"
4573,45-49,Nova Scotia,Female,English,English,Empty Nesters,High School Graduation Certificate,Professionals,"Under $25,000","$60,000-$74,999",Not Stated
4574,25-29,Ontario,Female,French,Other,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$75,000-$99,999","Under $25,000",White
4575,55-59,British Columbia,Female,English,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","$100,000-$124,999",White
4576,55-59,Ontario,Female,English,English,Empty Nesters,High School Graduation Certificate,Other,"Under $25,000","$25,000-$34,999",White
4577,15-17,Alberta,Male,English,English,Adult Living Alone,"""Bachelors Degrees""",Other Managers,"$40,000-$49,999","$40,000-$49,999",White
4578,35-39,Ontario,Male,French,French,Couple With Children Living at Home,Trade Certificate/Diploma,Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999","$100,000-$124,999","South Asian (East Indian, Pakistani)"
4579,45-49,Quebec,Male,English,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Professionals,"$60,000-$74,999","Under $25,000",White
4580,25-29,Manitoba,Female,English,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$150,000-$199,999","Under $25,000",White
4581,40-44,Alberta,Female,English,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Skilled,"$60,000-$74,999","Under $25,000",White
4582,70+,British Columbia,Male,Other,French,Adult Living Alone,High School Graduation Certificate,Other,"$25,000-$34,999","Under $25,000",White
4583,55-59,Saskatchewan,Male,English,French,Adult Sharing Accommodation,"""Bachelors Degrees""",Other,"$100,000-$124,999","$35,000-$39,999",White
4584,55-59,Ontario,Female,English,Vietnamese,Couple - No Children Living At Home,Elementary School Graduation Cert,Skilled,"$75,000-$99,999","Under $25,000",White
4585,45-49,Ontario,Male,English,French,Couple - No Children Living At Home,"""Bachelors Degrees""",Other,"$75,000-$99,999","$40,000-$49,999",White
4586,15-17,Quebec,Male,French,English,Couple With Children Living at Home,High School Graduation Certificate,Unskilled,"Under $25,000","$50,000-$59,999",Black
4587,20-21,British Columbia,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$75,000-$99,999","Under $25,000",White
4588,18 Years,Ontario,Female,French,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$60,000-$74,999","$25,000-$34,999",White
4589,70+,Saskatchewan,Female,English,English,Empty Nesters,"""Bachelors Degrees""",Other,"$75,000-$99,999","$25,000-$34,999",White
4590,60-64,Ontario,Female,French,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"Under $25,000","$40,000-$49,999",White
4591,22-24,Ontario,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other Managers,"$50,000-$59,999","Under $25,000",White
