,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,label1,combination,total,label1x,label2x,label3x,label4x,label5x,label6x,label7x,label8x,label9x,label10x,label11x,label12x,bestlabelx1,bestlabelx2,bestlabelx3,bestlabel1,bestlabel2,bestlabel3,melhores,total1
422,501,501,2383,2383,,2438,50-54,British Columbia,Female,English,English,High School Graduation Certificate,Full-Time,Other Managers,,,,0.7333333333333333,0.1111111111111111,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.2222222222222222,0,1.0,,0.7333333333333333-0.1111111111111111-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.2222222222222222-0-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,label7x,,,6,0,0,1.0,1.0
423,502,502,2385,2385,,2440,50-54,British Columbia,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other,,,,0.7333333333333333,0.1111111111111111,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.7333333333333333-0.1111111111111111-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,label6x,,,5,0,0,0.5,1.0
427,507,507,2418,2418,,2475,45-49,Ontario,Female,French,English,High School Graduation Certificate,Not Employed,Other Managers,,,,0.6666666666666666,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.5,0.5,0.2222222222222222,0,1.0,,0.6666666666666666-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.5-0.5-0.2222222222222222-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
428,508,508,2420,2420,,2477,60-64,Quebec,Male,English,English,Trade Certificate/Diploma,Full-Time,Other Managers,,,,0.8666666666666667,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.8,0.0,0.2222222222222222,0,1.0,,0.8666666666666667-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.8-0.0-0.2222222222222222-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
429,509,509,2426,2426,,2483,65-69,Quebec,Male,English,English,High School Graduation Certificate,Full-Time,Clerical/Secretarial,,,,0.9333333333333332,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.0,0,1.0,,0.9333333333333332-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.0-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
434,514,514,2444,2444,,2502,40-44,Ontario,Male,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other Managers,,,,0.6,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.2222222222222222,0,1.0,,0.6-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.2222222222222222-0-1.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
436,517,517,2464,2464,,2522,70+,Ontario,Female,French,English,High School Graduation Certificate,Not Employed,Other,,,,1.0,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,1.0-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
441,522,522,2505,2505,,2567,40-44,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,,,,0.6,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.0,0.0,0,1.0,,0.6-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.0-0.0-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
451,533,533,2554,2554,,2620,25-29,Ontario,Female,French,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.4,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.4-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,2,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,0.5,1.0
452,534,534,2557,2557,,2623,60-64,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.8666666666666667,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.8666666666666667-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
456,538,538,2573,2573,,2639,70+,Quebec,Female,English,French,Trade Certificate/Diploma,Full-Time,Other,,,,1.0,0.8888888888888888,1,0.2352941176470588,0.29411764705882354,0.8,0.0,0.1111111111111111,0,1.0,,1.0-0.8888888888888888-1-0.2352941176470588-0.29411764705882354-0.8-0.0-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
459,542,542,2594,2594,,2664,70+,Ontario,Female,French,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,1.0,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.4,0.0,0.2222222222222222,0,1.0,,1.0-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.4-0.0-0.2222222222222222-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
460,543,543,2595,2595,,2665,45-49,Quebec,Female,English,English,Elementary School Graduation Cert,Full-Time,Unskilled,,,,0.6666666666666666,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.4,0.0,1.0,0,1.0,,0.6666666666666666-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.4-0.0-1.0-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
462,545,545,2605,2605,,2675,40-44,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Other Managers,,,,0.6,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.2222222222222222,0,1.0,,0.6-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.2222222222222222-0-1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,label10x,,,9,0,0,1.0,1.0
463,546,546,2612,2612,,2683,40-44,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Other Managers,,,,0.6,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.2222222222222222,0,1.0,,0.6-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.2222222222222222-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
466,549,549,2649,2649,,2720,70+,Quebec,Female,French,English,High School Graduation Certificate,Not Employed,Other,,,,1.0,0.8888888888888888,1,0.29411764705882354,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,1.0-0.8888888888888888-1-0.29411764705882354-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
468,551,551,2665,2665,,2737,35-39,Alberta,Female,English,English,High School Graduation Certificate,Not Employed,Senior Managers/Owners,,,,0.5333333333333333,0.0,1,0.2352941176470588,0.2352941176470588,0.5,0.5,0.5555555555555556,0,1.0,,0.5333333333333333-0.0-1-0.2352941176470588-0.2352941176470588-0.5-0.5-0.5555555555555556-0-1.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label3x,,,2,0,0,1.0,1.0
469,552,552,2666,2666,,2738,65-69,Quebec,Male,English,English,High School Graduation Certificate,Not Employed,Other Managers,,,,0.9333333333333332,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.2222222222222222,0,1.0,,0.9333333333333332-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.2222222222222222-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
470,554,554,2676,2676,,2748,45-49,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Other,,,,0.6666666666666666,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.6666666666666666-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,0.5,1.0
473,558,558,2683,2683,,2755,50-54,Ontario,Female,English,English,Bachelors Degrees,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.8888888888888888,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.8888888888888888-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
475,561,561,2689,2689,,2762,55-59,Quebec,Female,French,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.8,0.8888888888888888,1,0.29411764705882354,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.8-0.8888888888888888-1-0.29411764705882354-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
476,562,562,2691,2691,,2764,45-49,Ontario,Female,English,French,Bachelors Degrees,Full-Time,Professionals,,,,0.6666666666666666,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.0,0.4444444444444444,0,1.0,,0.6666666666666666-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.0-0.4444444444444444-0-1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,label7x,,,6,0,0,1.0,1.0
478,564,564,2694,2694,,2767,70+,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Clerical/Secretarial,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.0,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.0-0-1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label3x,,,2,0,0,1.0,1.0
480,567,567,2711,2711,,2787,25-29,Ontario,Female,French,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.4,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
481,568,568,2714,2714,,2790,35-39,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Clerical/Secretarial,,,,0.5333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.0,0,1.0,,0.5333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.0-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
488,575,575,2757,2757,,2835,50-54,Quebec,Female,English,English,Elementary School Graduation Cert,Not Employed,Other Managers,,,,0.7333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.4,0.5,0.2222222222222222,0,1.0,,0.7333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.4-0.5-0.2222222222222222-0-1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label5x,,,4,0,0,1.0,1.0
489,576,576,2778,2778,,2859,70+,Ontario,Female,English,English,High School Graduation Certificate,Not Employed,Skilled,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.5,0.7777777777777778,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.5-0.7777777777777778-0-1.0,2,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,0.5,1.0
494,582,582,2809,2809,,2891,40-44,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Technical/Sales/Teaching/Other White Collar,,,,0.6,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.8888888888888888,0,1.0,,0.6-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.8888888888888888-0-1.0,2,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,0.5,1.0
495,583,583,2814,2814,,2897,40-44,Ontario,Male,French,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.6,0.6666666666666666,0,0.29411764705882354,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.6-0.6666666666666666-0-0.29411764705882354-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,label10x,,,9,0,0,1.0,1.0
498,586,586,2836,2836,,2920,30-34,British Columbia,Male,English,French,Bachelors Degrees,Full-Time,Other,,,,0.4666666666666667,0.1111111111111111,0,0.2352941176470588,0.29411764705882354,0.0,0.0,0.1111111111111111,0,1.0,,0.4666666666666667-0.1111111111111111-0-0.2352941176470588-0.29411764705882354-0.0-0.0-0.1111111111111111-0-1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,label10x,,,9,0,0,1.0,1.0
502,590,590,2862,2862,,2947,30-34,Quebec,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other Managers,,,,0.4666666666666667,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.2222222222222222,0,1.0,,0.4666666666666667-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.2222222222222222-0-1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
507,598,598,2898,2898,,2986,40-44,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.6,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.6-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
508,600,600,2909,2909,,2997,70+,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Senior Managers/Owners,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.5555555555555556,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.5555555555555556-0-1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label3x,,,2,0,0,1.0,1.0
509,601,601,2912,2912,,3000,60-64,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Professionals,,,,0.8666666666666667,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.4444444444444444,0,1.0,,0.8666666666666667-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.4444444444444444-0-1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,label6x,,,5,0,0,1.0,1.0
510,602,602,2913,2913,,3001,55-59,Quebec,Male,English,English,None,Not Employed,Other,,,,0.8,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.6,0.5,0.1111111111111111,0,1.0,,0.8-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.6-0.5-0.1111111111111111-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
515,607,607,2946,2946,,3035,45-49,Quebec,Female,French,English,Bachelors Degrees,Not Employed,Other Managers,,,,0.6666666666666666,0.8888888888888888,1,0.29411764705882354,0.2352941176470588,0.0,0.5,0.2222222222222222,0,1.0,,0.6666666666666666-0.8888888888888888-1-0.29411764705882354-0.2352941176470588-0.0-0.5-0.2222222222222222-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
516,608,608,2954,2954,,3043,25-29,Ontario,Female,English,English,Univ Cert/Dipl Above Bachelor Level,Not Employed,Other Managers,,,,0.4,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.2222222222222222,0,1.0,,0.4-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.2222222222222222-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
521,613,613,2976,2976,,3066,40-44,Ontario,Male,French,English,Other Certificate/Diploma Not Univ,Full-Time,Other,,,,0.6,0.6666666666666666,0,0.29411764705882354,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.6-0.6666666666666666-0-0.29411764705882354-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
522,615,615,2987,2987,,3077,50-54,Ontario,Male,English,English,High School Graduation Certificate,Part-Time,Clerical/Secretarial,,,,0.7333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,1.0,0.0,0,1.0,,0.7333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-1.0-0.0-0-1.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,label6x,,,5,0,0,1.0,1.0
525,618,618,3004,3004,,3095,30-34,Quebec,Female,French,French,Bachelors Degrees,Full-Time,Other,,,,0.4666666666666667,0.8888888888888888,1,0.29411764705882354,0.29411764705882354,0.0,0.0,0.1111111111111111,0,1.0,,0.4666666666666667-0.8888888888888888-1-0.29411764705882354-0.29411764705882354-0.0-0.0-0.1111111111111111-0-1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label3x,,,2,0,0,1.0,1.0
527,620,620,3009,3009,,3100,70+,Newfoundland and Labrador,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Clerical/Secretarial,,,,1.0,0.4444444444444444,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.0,0,1.0,,1.0-0.4444444444444444-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.0-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
528,623,623,3024,3024,,3115,22-24,Quebec,Female,English,French,Other Certificate/Diploma Not Univ,Part-Time,Other,,,,0.3333333333333333,0.8888888888888888,1,0.2352941176470588,0.29411764705882354,0.0,1.0,0.1111111111111111,0,1.0,,0.3333333333333333-0.8888888888888888-1-0.2352941176470588-0.29411764705882354-0.0-1.0-0.1111111111111111-0-1.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label3x,,,2,0,0,1.0,1.0
529,624,624,3025,3025,,3116,70+,British Columbia,Male,French,English,High School Graduation Certificate,Full-Time,Other,,,,1.0,0.1111111111111111,0,0.29411764705882354,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,1.0-0.1111111111111111-0-0.29411764705882354-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,label10x,,,9,0,0,1.0,1.0
531,626,626,3042,3042,,3135,70+,Alberta,Male,English,English,High School Graduation Certificate,Not Employed,Other Managers,,,,1.0,0.0,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.2222222222222222,0,1.0,,1.0-0.0-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.2222222222222222-0-1.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,label9x,,,8,0,0,1.0,1.0
535,630,630,3057,3057,,3150,70+,Quebec,Female,German,English,Bachelors Degrees,Full-Time,Other,,,,1.0,0.8888888888888888,1,0.35294117647058826,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,1.0-0.8888888888888888-1-0.35294117647058826-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
537,634,634,3080,3080,,3175,65-69,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Other Managers,,,,0.9333333333333332,0.1111111111111111,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.2222222222222222,0,1.0,,0.9333333333333332-0.1111111111111111-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.2222222222222222-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
538,635,635,3101,3101,,3198,55-59,Ontario,Male,French,English,Bachelors Degrees,Not Employed,Other,,,,0.8,0.6666666666666666,0,0.29411764705882354,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.8-0.6666666666666666-0-0.29411764705882354-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
539,636,636,3102,3102,,3199,45-49,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.6666666666666666,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.6666666666666666-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
540,638,638,3112,3112,,3209,60-64,Ontario,Female,English,English,Bachelors Degrees,Not Employed,Other,,,,0.8666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
541,640,640,3118,3118,,3215,60-64,Ontario,Female,French,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.8666666666666667,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label3x,,,2,0,0,1.0,1.0
544,644,644,3143,3143,,3242,50-54,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other Managers,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.2222222222222222,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.2222222222222222-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
545,646,646,3154,3154,,3253,45-49,Ontario,Female,French,English,Bachelors Degrees,Full-Time,Other Managers,,,,0.6666666666666666,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.0,0.0,0.2222222222222222,0,1.0,,0.6666666666666666-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.0-0.0-0.2222222222222222-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
547,649,649,3165,3165,,3264,30-34,Alberta,Female,French,English,Elementary School Graduation Cert,Not Employed,Clerical/Secretarial,,,,0.4666666666666667,0.0,1,0.29411764705882354,0.2352941176470588,0.4,0.5,0.0,0,1.0,,0.4666666666666667-0.0-1-0.29411764705882354-0.2352941176470588-0.4-0.5-0.0-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
551,653,653,3176,3176,,3276,50-54,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Technical/Sales/Teaching/Other White Collar,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,0.8888888888888888,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-0.8888888888888888-0-1.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
552,654,654,3177,3177,,3278,35-39,Quebec,Male,English,English,High School Graduation Certificate,Not Employed,Other,,,,0.5333333333333333,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.5333333333333333-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,label7x,,,6,0,0,1.0,1.0
